,stations,lats,lons,start,end,datapoints,continuous datapoints
538,1255100_Q_Day.Cmd.txt,-17.4,14.2,1961-10,2021-06,21814,21814
696,1291100_Q_Day.Cmd.txt,-17.46666667,24.3,1942-12,2021-06,24997,20088
744,1320160_Q_Day.Cmd.txt,8.00272,-10.21152,2018-05,2021-05,1084,1084
755,1324580_Q_Day.Cmd.txt,5.617,-9.319,2014-03,2021-04,2399,1697
746,1321880_Q_Day.Cmd.txt,7.067,-10.88,2012-06,2021-04,3249,3249
742,1320100_Q_Day.Cmd.txt,7.328,-11.143,2015-12,2021-04,1958,1958
747,1322840_Q_Day.Cmd.txt,7.202586,-9.818731,2013-03,2021-04,2901,252
748,1322880_Q_Day.Cmd.txt,6.90211,-10.36175,2012-04,2021-04,3292,3292
751,1323550_Q_Day.Cmd.txt,6.466,-9.526,2013-03,2021-04,2977,1656
752,1323580_Q_Day.Cmd.txt,6.084,-9.87,2013-04,2021-04,2869,180
743,1320150_Q_Day.Cmd.txt,8.278,-10.078,2014-01,2021-04,2550,332
539,1257100_Q_Day.Cmd.txt,-17.9,19.75,1945-10,2021-04,25240,16465
129,1159815_Q_Day.Cmd.txt,-27.80277778,28.7675,1988-12,2020-11,10518,531
250,1160520_Q_Day.Cmd.txt,-31.57,25.543889,1977-07,2020-11,15757,9495
270,1160615_Q_Day.Cmd.txt,-32.767778,27.372778,1947-06,2020-11,26397,3331
249,1160512_Q_Day.Cmd.txt,-31.904167,25.430556,1975-01,2020-11,16488,3182
407,1196215_Q_Day.Cmd.txt,-23.65837248,31.04990442,1959-09,2020-11,19130,5919
403,1196200_Q_Day.Cmd.txt,-23.526667,31.403333,1960-12,2020-11,21400,5054
268,1160611_Q_Day.Cmd.txt,-32.915278,27.386111,1947-06,2020-11,23087,8403
287,1160640_Q_Day.Cmd.txt,-32.875278,27.382778,1947-10,2020-11,21630,3551
48,1159670_Q_Day.Cmd.txt,-28.694722,28.234722,1968-06,2020-11,18715,1931
260,1160545_Q_Day.Cmd.txt,-33.506667,26.744167,1969-07,2020-11,18580,9357
288,1160641_Q_Day.Cmd.txt,-32.731667,27.293333,1946-10,2020-11,26999,7223
252,1160525_Q_Day.Cmd.txt,-32.385556,25.520556,1975-10,2020-11,16150,12788
262,1160580_Q_Day.Cmd.txt,-33.237778,26.994722,1969-07,2020-11,17089,6412
263,1160600_Q_Day.Cmd.txt,-33.185278,27.390556,1969-08,2020-11,18186,4238
258,1160537_Q_Day.Cmd.txt,-32.76144444,26.62886111,1991-10,2020-10,10495,5899
328,1160756_Q_Day.Cmd.txt,-29.238333,29.787778,1972-07,2020-10,17325,6730
136,1159880_Q_Day.Cmd.txt,-27.00231,28.76528,1985-09,2020-10,12459,3374
73,1159300_Q_Day.Cmd.txt,-28.457778,21.239167,1942-10,2020-10,27752,4985
67,1159105_Q_Day.Cmd.txt,-28.07583,16.89833,2014-05,2020-10,2352,2352
327,1160755_Q_Day.Cmd.txt,-29.266111,29.867778,1972-08,2020-10,17214,9933
326,1160752_Q_Day.Cmd.txt,-29.36,29.880833,1972-09,2020-10,17414,6919
66,1159103_Q_Day.Cmd.txt,-28.96340283,19.15192169,1979-11,2020-10,14034,3468
65,1159100_Q_Day.Cmd.txt,-28.757778,17.721389,1935-11,2020-10,30214,7339
337,1160763_Q_Day.Cmd.txt,-31.23805556,28.85222222,1951-10,2020-10,22065,1542
282,1160621_Q_Day.Cmd.txt,-32.64,26.935833,1953-06,2020-10,24437,4346
78,1159305_Q_Day.Cmd.txt,-30.53472222,24.9625,1980-06,2020-10,14718,1210
322,1160743_Q_Day.Cmd.txt,-31.79966667,28.33302778,2005-07,2020-10,5490,1387
119,1159653_Q_Day.Cmd.txt,-30.15972222,27.40138889,1948-08,2020-10,22834,5173
118,1159651_Q_Day.Cmd.txt,-30.336389,27.358333,1960-10,2020-10,21344,3265
290,1160660_Q_Day.Cmd.txt,-32.801667,27.855278,1972-04,2020-10,17719,17719
292,1160671_Q_Day.Cmd.txt,-32.579167,27.365833,1947-04,2020-10,25502,3651
293,1160675_Q_Day.Cmd.txt,-32.516111,27.523611,1964-08,2020-10,19606,4918
296,1160684_Q_Day.Cmd.txt,-32.51639,28.01806,1990-08,2020-10,10951,4541
298,1160687_Q_Day.Cmd.txt,-29.988056,29.851667,1949-07,2020-10,19978,4649
299,1160688_Q_Day.Cmd.txt,-30.403611,29.894444,1934-02,2020-10,22780,9234
300,1160690_Q_Day.Cmd.txt,-32.050278,26.789722,1964-04,2020-10,19543,7773
301,1160693_Q_Day.Cmd.txt,-32.17377778,27.37230556,2003-09,2020-10,6243,6243
302,1160695_Q_Day.Cmd.txt,-32.04430556,27.82238889,1964-07,2020-10,18056,5503
303,1160700_Q_Day.Cmd.txt,-29.743611,29.904722,1960-01,2020-10,21484,3042
312,1160710_Q_Day.Cmd.txt,-29.4425,30.148333,1954-07,2020-10,24094,18391
313,1160715_Q_Day.Cmd.txt,-29.381667,30.2775,1954-01,2020-10,23579,3915
286,1160635_Q_Day.Cmd.txt,-32.553611,26.670833,1972-04,2020-10,17598,1922
284,1160630_Q_Day.Cmd.txt,-32.713333,26.295833,1933-04,2020-10,30793,12371
315,1160720_Q_Day.Cmd.txt,-29.5125,30.094167,1960-08,2020-10,21710,16395
319,1160730_Q_Day.Cmd.txt,-31.922778,26.785556,1964-05,2020-10,19941,4930
340,1160772_Q_Day.Cmd.txt,-31.10427778,29.39972222,2001-02,2020-10,6774,1350
323,1160745_Q_Day.Cmd.txt,-31.67027778,28.11163889,1947-06,2020-10,11783,1844
283,1160625_Q_Day.Cmd.txt,-32.701944,26.575833,1965-06,2020-10,20122,7500
339,1160770_Q_Day.Cmd.txt,-31.031667,28.884444,1951-09,2020-10,20386,3310
353,1160815_Q_Day.Cmd.txt,-28.404722,30.012778,1954-01,2020-10,23675,6706
342,1160774_Q_Day.Cmd.txt,-30.77586667,29.03221667,2006-08,2020-10,4964,3336
378,1160920_Q_Day.Cmd.txt,-28.331389,32.361111,1969-10,2020-10,18222,2978
401,1196180_Q_Day.Cmd.txt,-25.035833,30.219167,1960-09,2020-10,21936,19146
247,1160510_Q_Day.Cmd.txt,-33.098056,26.444722,1935-10,2020-10,30878,6994
427,1160785_Q_Day.Cmd.txt,-30.568333,29.422222,1947-09,2020-10,25967,5618
428,1160881_Q_Day.Cmd.txt,-28.735833,29.820833,1937-08,2020-10,25231,4012
245,1160500_Q_Day.Cmd.txt,-33.329167,26.0775,1957-02,2020-10,22572,10332
243,1160493_Q_Day.Cmd.txt,-33.09930556,25.0115,1978-05,2020-10,15339,4559
241,1160487_Q_Day.Cmd.txt,-33.797222,25.308889,1965-04,2020-10,18195,5351
240,1160485_Q_Day.Cmd.txt,-33.77191667,25.38638889,1994-11,2020-10,9372,3013
238,1160470_Q_Day.Cmd.txt,-33.203611,24.234167,1926-10,2020-10,25395,10957
237,1160460_Q_Day.Cmd.txt,-33.730833,24.617778,1964-03,2020-10,20482,8459
236,1160459_Q_Day.Cmd.txt,-34.09663889,24.43911111,1995-06,2020-10,9222,1875
235,1160458_Q_Day.Cmd.txt,-34.03197222,24.19552778,1998-10,2020-10,8049,8049
234,1160457_Q_Day.Cmd.txt,-33.865556,23.835556,1965-04,2020-10,19690,5202
233,1160456_Q_Day.Cmd.txt,-33.98194444,24.02097222,1961-06,2020-10,21542,7338
231,1160453_Q_Day.Cmd.txt,-33.79194444,24.03277778,1990-04,2020-10,10972,2839
343,1160775_Q_Day.Cmd.txt,-30.570556,29.15,1962-09,2020-10,21053,3452
400,1196175_Q_Day.Cmd.txt,-25.02911111,29.85580556,1957-09,2020-10,22490,8393
360,1160851_Q_Day.Cmd.txt,-27.6025,29.9425,1929-07,2020-10,32517,9708
355,1160825_Q_Day.Cmd.txt,-27.896667,29.953056,1961-12,2020-10,21399,9038
374,1160911_Q_Day.Cmd.txt,-28.069444,31.549444,1965-08,2020-10,17602,2113
370,1160894_Q_Day.Cmd.txt,-28.8125,29.310556,1976-12,2020-10,15893,3850
345,1160780_Q_Day.Cmd.txt,-31.495833,29.528611,1969-07,2020-10,14474,3130
368,1160892_Q_Day.Cmd.txt,-28.892222,29.770278,1954-01,2020-10,23612,3239
346,1160788_Q_Day.Cmd.txt,-29.71511,30.86917,1989-04,2020-10,11269,5375
365,1160885_Q_Day.Cmd.txt,-28.818056,29.545,1964-11,2020-10,20310,7036
137,1159890_Q_Day.Cmd.txt,-26.84108,29.72336,1972-10,2020-10,17203,5054
352,1160810_Q_Day.Cmd.txt,-28.309722,30.147778,1954-01,2020-10,23883,6931
354,1160820_Q_Day.Cmd.txt,-27.849722,29.840556,1948-07,2020-10,25945,4080
359,1160850_Q_Day.Cmd.txt,-28.059167,30.373333,1960-04,2020-10,20299,3146
201,1160365_Q_Day.Cmd.txt,-33.489444,21.489167,1955-02,2020-09,23588,6586
203,1160368_Q_Day.Cmd.txt,-33.491944,21.514167,1955-02,2020-09,23377,3312
206,1160376_Q_Day.Cmd.txt,-33.50222222,21.62277778,1982-09,2020-09,13760,2876
138,1159910_Q_Day.Cmd.txt,-26.861389,28.884444,1973-12,2020-09,16297,4031
254,1160528_Q_Day.Cmd.txt,-32.08583333,25.57583333,1977-04,2020-09,15728,4420
256,1160533_Q_Day.Cmd.txt,-33.02763889,25.89330556,1975-02,2020-09,16168,8272
123,1159675_Q_Day.Cmd.txt,-29.61666667,27.06555556,1988-11,2020-09,10845,879
267,1160610_Q_Day.Cmd.txt,-32.858333,27.370556,1948-07,2020-09,23867,2142
246,1160505_Q_Day.Cmd.txt,-33.55230556,26.60180556,1969-07,2020-09,17678,1003
148,1160200_Q_Day.Cmd.txt,-30.823889,18.1175,1967-04,2020-09,18100,4812
255,1160529_Q_Day.Cmd.txt,-32.31419444,25.74111111,1980-07,2020-09,14636,8906
116,1159601_Q_Day.Cmd.txt,-31.000833,26.353056,1912-10,2020-09,38628,4082
117,1159650_Q_Day.Cmd.txt,-30.678056,26.716389,1914-01,2020-09,38642,13886
253,1160527_Q_Day.Cmd.txt,-32.785,25.61483333,1980-05,2020-09,14732,7652
121,1159660_Q_Day.Cmd.txt,-30.830556,26.920556,1965-10,2020-09,18992,3325
280,1160530_Q_Day.Cmd.txt,-32.605833,25.884444,1980-09,2020-09,14387,5144
82,1159330_Q_Day.Cmd.txt,-29.0425,24.59916667,1989-07,2020-09,11384,3534
347,1160790_Q_Day.Cmd.txt,-29.161667,30.629722,1949-08,2020-09,25467,7508
68,1159110_Q_Day.Cmd.txt,-31.806667,20.357778,1927-10,2020-09,33832,20737
358,1160842_Q_Day.Cmd.txt,-29.00525,29.88263889,1962-11,2020-09,20444,4904
46,1159320_Q_Day.Cmd.txt,-29.658056,25.972778,1954-03,2020-09,22752,5572
381,1160955_Q_Day.Cmd.txt,-33.910556,20.713056,1949-03,2020-09,24402,3858
382,1160957_Q_Day.Cmd.txt,-34.020278,20.535556,1951-05,2020-09,23174,3177
385,1160970_Q_Day.Cmd.txt,-28.872778,31.457222,1948-08,2020-09,25138,9856
388,1160975_Q_Day.Cmd.txt,-28.748056,31.745556,1962-12,2020-09,16923,2908
421,1196413_Q_Day.Cmd.txt,-25.81056,27.90983,1922-10,2020-09,35552,14061
434,1196440_Q_Day.Cmd.txt,-25.20631,27.55794,1983-01,2020-09,12391,5437
438,1196447_Q_Day.Cmd.txt,-25.12856,27.62858,1955-09,2020-09,23588,5732
439,1196450_Q_Day.Cmd.txt,-24.69508,27.409,1987-10,2020-09,11356,4115
440,1196455_Q_Day.Cmd.txt,-24.39619,27.08983,2002-10,2020-09,5737,2284
494,1199100_Q_Day.Cmd.txt,-26.279722,30.594167,1963-10,2020-09,19852,2593
496,1199115_Q_Day.Cmd.txt,-26.38708,30.84461,1976-09,2020-09,14210,2473
709,1259070_Q_Day.Cmd.txt,-24.35,17.56666667,1976-12,2020-09,14965,2608
502,1199415_Q_Day.Cmd.txt,-26.51336,30.78617,1974-10,2020-09,16491,2511
504,1199453_Q_Day.Cmd.txt,-26.82786,30.72831,1950-08,2020-09,24878,3642
505,1199455_Q_Day.Cmd.txt,-26.67717,30.70208,1975-08,2020-09,16166,4239
506,1199460_Q_Day.Cmd.txt,-27.114444,30.831389,1950-08,2020-09,23738,6446
507,1199465_Q_Day.Cmd.txt,-27.06519,30.99356,1968-08,2020-09,17120,2406
585,1259104_Q_Day.Cmd.txt,-24.26666667,17.06666667,1976-12,2020-09,15374,2559
584,1259103_Q_Day.Cmd.txt,-24.167,17.35,1970-06,2020-09,14900,2918
564,1259060_Q_Day.Cmd.txt,-24.18333333,17.01666667,1976-12,2020-09,14190,3958
553,1258500_Q_Day.Cmd.txt,-23.5,14.96666667,1977-11,2020-09,15475,7028
349,1160795_Q_Day.Cmd.txt,-29.533611,31.089167,1966-10,2020-09,13314,2670
198,1160353_Q_Day.Cmd.txt,-33.74916667,21.44444444,1982-07,2020-09,13849,2895
85,1159337_Q_Day.Cmd.txt,-28.94861111,26.32111111,1999-11,2020-09,7294,2133
94,1159450_Q_Day.Cmd.txt,-28.71149156,24.07290156,1995-02,2020-09,8128,2518
197,1160352_Q_Day.Cmd.txt,-33.69388889,21.14305556,1982-04,2020-09,13882,3252
69,1159120_Q_Day.Cmd.txt,-31.815278,20.578056,1963-03,2020-09,18597,4201
79,1159310_Q_Day.Cmd.txt,-29.144167,26.318056,1923-10,2020-09,33006,6847
77,1159304_Q_Day.Cmd.txt,-29.1828515,23.57510692,1989-02,2020-09,7780,3156
88,1159405_Q_Day.Cmd.txt,-28.38651139,24.29707622,1994-11,2020-09,7916,1975
86,1159400_Q_Day.Cmd.txt,-27.573333,24.745833,1923-10,2020-09,34738,17650
75,1159302_Q_Day.Cmd.txt,-29.161944,23.695833,1962-08,2020-09,19225,3789
83,1159333_Q_Day.Cmd.txt,-29.16083333,26.57222222,1918-07,2020-09,23493,12510
95,1159490_Q_Day.Cmd.txt,-28.51622689,24.60069589,1968-08,2020-09,18325,4255
74,1159301_Q_Day.Cmd.txt,-29.651667,22.745833,1959-05,2020-09,20792,4364
72,1159290_Q_Day.Cmd.txt,-28.77466011,20.72242939,1993-07,2020-09,9840,6085
84,1159335_Q_Day.Cmd.txt,-29.02861111,24.63833333,1989-08,2020-09,10920,592
71,1159130_Q_Day.Cmd.txt,-30.474444,20.519167,1973-03,2020-09,16943,6802
70,1159125_Q_Day.Cmd.txt,-31.43716033,20.47416897,1987-05,2020-09,10062,6279
87,1159403_Q_Day.Cmd.txt,-27.90320789,24.61514311,1951-05,2020-09,24446,2953
111,1159555_Q_Day.Cmd.txt,-26.73828,27.59197,1996-10,2020-08,7029,1909
108,1159548_Q_Day.Cmd.txt,-26.64428,27.09033,1904-08,2020-08,41886,21105
324,1160750_Q_Day.Cmd.txt,-29.071389,30.245556,1960-05,2020-08,21410,5768
271,1160617_Q_Day.Cmd.txt,-32.99163889,27.64002778,1994-02,2020-08,9528,1894
122,1159673_Q_Day.Cmd.txt,-28.88388889,27.88944444,1991-10,2020-08,9832,682
127,1159811_Q_Day.Cmd.txt,-27.43083333,28.52638889,1985-03,2020-08,11863,3320
128,1159813_Q_Day.Cmd.txt,-27.30138889,28.58555556,1985-06,2020-08,12576,3835
413,1196350_Q_Day.Cmd.txt,-25.776944,27.761111,1922-10,2020-08,35239,14061
251,1160523_Q_Day.Cmd.txt,-31.7775,25.3175,1982-08,2020-08,13895,13895
132,1159830_Q_Day.Cmd.txt,-28.375556,28.861667,1963-12,2020-08,19400,3105
109,1159549_Q_Day.Cmd.txt,-26.37022,27.24811,1971-05,2020-08,17105,2954
560,1258509_Q_Day.Cmd.txt,-22.71666667,16.6,1977-11,2020-07,13819,2020
100,1159513_Q_Day.Cmd.txt,-27.67138889,27.23694444,1994-10,2020-07,9014,3326
104,1159535_Q_Day.Cmd.txt,-27.38972222,26.46388889,1972-01,2020-07,17662,2054
125,1159805_Q_Day.Cmd.txt,-27.27166667,28.49111111,1913-10,2020-07,38086,5542
1266,1617800_Q_Day.Cmd.txt,9.87,-12.52,1957-06,2020-07,11894,1487
571,1255150_Q_Day.Cmd.txt,-17.26580556,13.313,1980-02,2020-06,12651,2909
522,1234150_Q_Day.Cmd.txt,13.52,2.09,1929-01,2020-06,30109,14942
543,1258150_Q_Day.Cmd.txt,-20.47680556,14.58791667,1974-12,2020-06,15539,4578
153,1160245_Q_Day.Cmd.txt,-33.134444,19.060556,1972-05,2020-05,17166,3864
140,1160095_Q_Day.Cmd.txt,-33.08883333,19.21877778,2011-10,2020-05,3127,3127
1269,1622500_Q_Day.Cmd.txt,8.06,-9.07,1978-01,2020-05,6853,1680
1268,1619600_Q_Day.Cmd.txt,8.5,-10.33,1975-03,2020-05,8311,1424
159,1160263_Q_Day.Cmd.txt,-33.70777778,18.99111111,1966-03,2020-05,19723,2981
156,1160256_Q_Day.Cmd.txt,-33.72277778,18.61666667,1998-10,2020-05,7614,6825
1265,1616700_Q_Day.Cmd.txt,10.5,-12.9,1954-01,2020-05,12273,1002
150,1160220_Q_Day.Cmd.txt,-32.780278,19.283056,1970-04,2020-05,17101,6228
163,1160271_Q_Day.Cmd.txt,-33.379444,19.149444,1964-04,2020-05,20266,8267
154,1160250_Q_Day.Cmd.txt,-33.463889,18.740278,1965-03,2020-05,20098,3804
165,1160276_Q_Day.Cmd.txt,-33.390556,19.171389,1964-04,2020-05,19923,6009
139,1160091_Q_Day.Cmd.txt,-32.59638889,19.00833333,1992-06,2020-05,10008,5744
164,1160275_Q_Day.Cmd.txt,-33.388056,19.159167,1964-05,2020-05,20228,9087
151,1160230_Q_Day.Cmd.txt,-32.211667,18.936667,1971-03,2020-05,16225,2624
152,1160235_Q_Day.Cmd.txt,-31.8625,18.68639,1927-04,2020-05,33586,12371
131,1159825_Q_Day.Cmd.txt,-28.085,28.836667,1971-11,2020-05,17446,4479
161,1160266_Q_Day.Cmd.txt,-33.13083333,18.86277778,1964-11,2020-05,20085,4237
1282,1634500_Q_Day.Cmd.txt,10.3833,-9.3,1938-05,2020-05,25867,6575
1284,1634560_Q_Day.Cmd.txt,9.27,-9.02,1970-06,2020-05,10133,2435
559,1258508_Q_Day.Cmd.txt,-22.8,16.51666667,1977-11,2020-05,14951,2838
90,1159413_Q_Day.Cmd.txt,-27.935,26.12444444,1968-09,2020-05,18204,1803
173,1160300_Q_Day.Cmd.txt,-33.380556,19.301389,1923-02,2020-05,34432,9942
92,1159417_Q_Day.Cmd.txt,-28.11722222,26.71916667,1995-11,2020-05,6511,2698
318,1160725_Q_Day.Cmd.txt,-29.64244444,30.68861111,1989-10,2020-05,10573,5789
306,1160704_Q_Day.Cmd.txt,-29.80394558,30.51587147,1981-11,2020-05,13917,7241
101,1159520_Q_Day.Cmd.txt,-27.355833,27.285556,1947-11,2020-05,26241,7520
273,1160240_Q_Day.Cmd.txt,-33.184722,19.155278,1968-03,2020-05,17723,11632
130,1159820_Q_Day.Cmd.txt,-27.847778,28.945,1954-01,2020-05,22471,4914
160,1160265_Q_Day.Cmd.txt,-33.313889,19.074444,1954-05,2020-05,23376,9093
274,1160310_Q_Day.Cmd.txt,-33.359444,19.298056,1965-02,2020-04,19664,8113
555,1258502_Q_Day.Cmd.txt,-22.96666667,16.38333333,1976-10,2020-04,15575,3496
110,1159550_Q_Day.Cmd.txt,-26.97056,27.20967,1938-10,2020-03,28818,8260
408,1196220_Q_Day.Cmd.txt,-23.83532041,31.63744893,1984-02,2020-03,11572,3684
362,1160882_Q_Day.Cmd.txt,-28.721667,29.375556,1967-08,2020-03,19058,4781
363,1160883_Q_Day.Cmd.txt,-28.75002778,30.44222222,1927-01,2020-03,31134,6669
610,1259451_Q_Day.Cmd.txt,-22.13333333,18.81666667,1970-02,2020-02,17263,4405
317,1160723_Q_Day.Cmd.txt,-29.60772222,30.45025,1996-02,2020-02,8153,5111
232,1160455_Q_Day.Cmd.txt,-33.955556,23.638333,1961-06,2020-02,21083,5440
